index_número_registro,tipo_registro,núcleo_víctima,nombre_víctima,tipo_delito,fecha_registro,directa_indirecta,fecha_acuerdo_ministerial,carpeta_investigacion,numero_anexo,numero_recomendacion,nombre_recomendacion,fecha_emision_recomendacion,derechos_violados,clave_víctima,fecha_sentencia,expediente_judicial,AlfanúmericaRegistro
1,Delito – Judicial,Name,Name,Type,NA,directa,NA,NA,NA,NA,NA,NA,NA,NA,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA
2,Delito – Judicial,Name,Name,Type,NA,indirecta,NA,NA,NA,NA,NA,NA,NA,NA,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA
3,Delito – Judicial,Name,Name,Type,NA,directa,NA,NA,NA,NA,NA,NA,NA,NA,dd de mm de yy,ALPHANUMERIC/KEY/YEAR,NA
4,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],14 de diciembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
5,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],07 de octubre de 2019,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
6,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],07 de octubre de 2019,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
7,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],07 de octubre de 2019,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
8,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],9 de diciembre de 2019,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
9,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],13 de octubre de 2020,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
10,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],02 de noviembre de 2020,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
11,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],02 de noviembre de 2020,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
12,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],02 de noviembre de 2020,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
13,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],15 de diciembre de 2021,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
14,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],15 de diciembre de 2021,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
15,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],15 de diciembre de 2021,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
16,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],15 de diciembre de 2021,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
17,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],15 de diciembre de 2021,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
18,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],10 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
19,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],10 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
20,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],10 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
21,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],10 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
22,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],10 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
23,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],10 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
24,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],10 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
25,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],11 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
26,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],11 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
27,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],11 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
28,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
29,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
30,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
31,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
32,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
33,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
34,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
35,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
36,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
37,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
